"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U1";"XIAO-nRF52840-Plus-SMD_batpinholes";1;"~";;;
2;"K22,K20,K42,K33,K03,K51,K21,K52,K00,K13,K50,K11,K12,K10,K02,K30,K43,K01,K32,K23,K41,K40,K31";"Key Holder";23;"key_placeholder";;;
3;"C122,C511,C422,C011,C301,C322,C432,C131,C111,C302,C021,C112,C402,C002,C001,C412,C231,C321,C521,C032,C121,C222,C202,C102,C311,C501,C512,C312,C031,C132,C411,C211,C201,C212,C232,C331,C522,C012,C221,C401,C431,C421,C332,C022,C101,C502";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";46;"C";;;
4;"D22,D32,D52,D20,D42,D50,D12,D23,D30,D40,D11,D13,D01,D41,D00,D02,D51,D43,D33,D31,D10,D03,D21";"LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm";23;"SK6812";;;
5;"C5,C4,C9,C8,C6,C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"100pF";;;
6;"U2,U4,U3";"SOIC-16_3.9x9.9mm_P1.27mm";3;"4052";;;
7;"J1";"PinSocket_1x04_P2.54mm_Vertical";1;"pin header";;;
8;"S02,S21,S51,S33,S32,S10,S41,S12,S30,S52,S20,S23,S01,S42,S22,S11,S00,S43,S03,S40,S50,S31,S13";"SOT-23_Handsoldering";23;"RR112";;;
9;"C1,C2,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"0.1uF";;;
10;"R5,R2,R4,R3,R6,R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"47k";;;
11;"Q1,Q2";"SOT-23";2;"AO3401A";;;
12;"D1";"D_Powermite_AK";1;"D_Schottky";;;
13;"R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"~50k";;;
14;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"~10k";;;
15;"JP1";"JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal";1;"Conn_01x02";;;
